,start_station_id,start_lat,start_lng,borough,zip
245,6364.07,40.74901271,-73.98848395,Manhattan,10019
247,7207.08,40.777419925,-73.982759118,Manhattan,10069
248,6055.08,40.73827428,-73.98751968,Manhattan,10003
274,6779.04,40.76228826,-73.98336183,Manhattan,10019
276,5329.03,40.71754834,-74.01322069,Manhattan,10282
281,5065.12,40.70717936,-74.00887308,Manhattan,10045
282,5636.11,40.72743423,-73.99379025,Manhattan,10012
283,5644.05,40.726378000000004,-74.000472,Manhattan,10012
284,6459.04,40.75066386,-74.00176802,Manhattan,10001
293,6450.05,40.7505853470215,-73.9946848154068,Manhattan,10119
297,5096.12,40.7075188830923,-74.00108054280281,Manhattan,10038
301,5914.03,40.73532427,-73.99800419,Manhattan,10014
307,5679.08,40.726156049804075,-73.99510189890863,Manhattan,10012
308,5207.01,40.71273266,-74.0046073,Manhattan,10000
310,5523.02,40.72229346,-73.99147535,Manhattan,10002
314,6224.05,40.74345335,-74.00004031,Manhattan,10011
319,5198.04,40.71076228,-73.99400398,Manhattan,10002
323,6659.01,40.75714758,-73.97207836,Manhattan,10022
324,8650.11,40.867505,-73.926363,Manhattan,10034
332,8033.09,40.827075,-73.945909,Manhattan,10031
335,6004.07,40.7381765,-73.97738662,Manhattan,10010
392,6148.02,40.74177603,-74.00149746,Manhattan,10011
395,7704.04,40.8078316,-73.949373,Manhattan,10027
404,7667.04,40.80295,-73.942954,Manhattan,10037
407,5989.02,40.73804614248277,-73.99642959237099,Manhattan,10011
408,6432.10,40.752049,-73.979635,Manhattan,10017
411,6830.02,40.763954,-73.9646,Manhattan,10065
415,5303.08,40.71427487,-73.98990025,Manhattan,10002
416,6608.09,40.756265,-73.964179,Manhattan,10022
417,7311.02,40.7829391,-73.9786517,Manhattan,10024
418,6626.11,40.757769,-73.979294,Manhattan,10020
423,7354.01,40.78476,-73.969862,Manhattan,10024
424,5997.10,40.73752993301071,-74.00558933615685,Manhattan,10014
430,8299.03,40.846052,-73.937648,Manhattan,10033
437,8226.06,40.840896031930406,-73.93972098827362,Manhattan,10031
439,6809.09,40.763189000000004,-73.978434,Manhattan,10019
443,7288.04,40.780577990103346,-73.98562431335448,Manhattan,10069
445,6432.11,40.750756,-73.978326,Manhattan,10016
446,5470.02,40.719902276999996,-74.008426309,Manhattan,10013
462,7818.17,40.814527154000004,-73.953497052,Manhattan,10027
477,5872.10,40.732758870450866,-73.99581670761107,Manhattan,10003
478,5342.10,40.71605866,-73.99190759,Manhattan,10002
482,5929.01,40.736502,-73.97809472,Manhattan,10010
490,6890.01,40.766518593,-73.990802288,Manhattan,10019
495,7976.08,40.823510051,-73.94406557100001,Manhattan,10030
499,6115.06,40.74015379,-74.005342007,Manhattan,10014
500,5159.07,40.70991806921533,-73.99161100387573,Manhattan,10038
502,5955.12,40.735918,-74.000939,Manhattan,10014
505,5382.06,40.718821999999996,-73.99596,Manhattan,10013
508,6740.01,40.76132983124814,-73.97982001304626,Manhattan,10019
512,6762.04,40.76312584,-73.96526895,Manhattan,10065
524,5167.06,40.71117416,-74.00016545,Manhattan,10038
530,6659.03,40.759358406,-73.974022508,Manhattan,10055
531,6483.06,40.752148999999996,-73.98953900000001,Manhattan,10018
533,5343.11,40.717318403855785,-73.99067759513855,Manhattan,10002
536,4953.04,40.70355377,-74.00670227,Manhattan,10041
539,8029.28,40.826481462,-73.937861443,Manhattan,10039
541,5359.10,40.716236949,-74.009166837,Manhattan,10014
545,5772.07,40.731421000000005,-74.01078000000001,Manhattan,10014
548,6884.03,40.765959181657976,-73.98313522338867,Manhattan,10019
551,5445.07,40.720746999999996,-73.986274,Manhattan,10002
556,5374.01,40.7172274,-73.98802084,Manhattan,10002
564,6569.09,40.754145192635185,-73.9960889518261,Manhattan,10001
570,7741.01,40.809924722,-73.955175161,Manhattan,10027
579,6932.14,40.767830491,-73.965657115,Manhattan,10065
589,5105.09,40.70858894240581,-74.00935482235809,Manhattan,10005
590,5593.01,40.72335597960796,-73.9886498451233,Manhattan,10012
597,6039.06,40.739323,-74.008119,Manhattan,10014
598,5626.13,40.72779126,-73.98564945,Manhattan,10003
604,6626.01,40.75724567911726,-73.97805914282799,Manhattan,10017
605,7443.01,40.78948541553215,-73.9524292945862,Manhattan,10037
606,5659.11,40.727464206923926,-73.97950418293476,Manhattan,10009
622,6560.14,40.754818,-73.98815400000001,Manhattan,10018
624,6030.04,40.73781509,-73.99994661,Manhattan,10011
625,5712.12,40.72769,-73.990993,Manhattan,10003
627,6526.05,40.75461,-73.99176999999999,Manhattan,10018
629,6464.09,40.752643,-73.97499599999999,Manhattan,10017
641,7154.07,40.77573034,-73.9567526,Manhattan,10028
671,6809.07,40.76340613,-73.97722479,Manhattan,10019
676,7100.07,40.77282817,-73.96685276,Manhattan,10065
684,5359.12,40.717331052,-74.009584904,Manhattan,10013
737,6422.08,40.750441431999995,-73.971011281,Manhattan,10017
738,6004.06,40.739445,-73.97680600000001,Manhattan,10016
739,6584.12,40.75510267,-73.97498696,Manhattan,10017
740,7713.01,40.805973,-73.964928,Manhattan,10025
761,7650.05,40.8021174,-73.9681805305,Manhattan,10025
763,6896.16,40.76712840349542,-73.96224617958069,Manhattan,10021
764,6611.02,40.75660359,-73.9979009,Manhattan,10018
765,8532.03,40.859306216,-73.933831215,Manhattan,10040
769,7981.16,40.82468617,-73.951905608,Manhattan,10031
813,7688.12,40.805159,-73.95469200000001,Manhattan,10026
817,5938.11,40.735367055605394,-73.98797392845155,Manhattan,10003
819,7141.07,40.77579376683666,-73.97620573639871,Manhattan,10023
821,5854.09,40.73381219196632,-73.9805442094803,Manhattan,10010
823,7243.04,40.77862688,-73.95772073,Manhattan,10028
824,6765.01,40.76087502,-74.00277668,Manhattan,10199
839,8018.04,40.827300906,-73.951978207,Manhattan,10031
858,7260.09,40.779474854,-73.981234193,Manhattan,10024
860,6379.03,40.749646664000004,-73.969290257,Manhattan,10158
873,6747.07,40.76171227910671,-73.98655101656914,Manhattan,10019
892,5964.01,40.736110687,-74.008725166,Manhattan,10014
917,5105.01,40.70905623,-74.01043382,Manhattan,10005
936,5509.02,40.72231,-74.0106,Manhattan,10013
944,7212.05,40.778024673000004,-73.954335332,Manhattan,10028
950,5335.07,40.71511871996496,-73.98417055606842,Manhattan,10002
951,6190.08,40.74317449,-74.00366443,Manhattan,10019
952,7123.04,40.77515953434235,-73.98918695747851,Manhattan,10023
953,6064.08,40.73971301,-73.99456405,Manhattan,10011
954,7745.07,40.8109494,-73.9634,Manhattan,10027
956,6517.08,40.755216479,-73.984683275,Manhattan,10036
960,6816.07,40.76370739,-73.9851615,Manhattan,10019
963,5593.04,40.726231933,-73.98962688399999,Manhattan,10003
968,6089.08,40.741459000000006,-73.983293,Manhattan,10037
969,7340.07,40.783786,-73.981687,Manhattan,10024
971,6197.02,40.74290902,-73.97706058,Manhattan,10016
997,5137.11,40.709750652,-74.006515622,Manhattan,10038
1010,7646.04,40.802692,-73.96295,Manhattan,10025
1026,6569.08,40.754691750226016,-73.9974018931389,Manhattan,10001
1033,6541.03,40.7546011026,-73.971878855,Manhattan,10017
1034,6389.09,40.749354005,-73.976911783,Manhattan,10016
1035,5886.13,40.73320862652242,-73.97568136470001,Manhattan,10010
1036,5788.13,40.73020660529954,-73.99102628231049,Manhattan,10003
1037,5626.15,40.72633085971696,-73.98616880178452,Manhattan,10009
1038,6593.15,40.756951,-73.98263100000001,Manhattan,10019
1042,5270.09,40.71310702305908,-73.99446353316306,Manhattan,10002
1044,7388.10,40.78720869,-73.98128127,Manhattan,10024
1046,5847.01,40.73291553,-74.00711384,Manhattan,10014
1049,5971.09,40.73716919369882,-73.98122549057005,Manhattan,10010
1065,5515.08,40.723346832180155,-73.98265913128853,Manhattan,10009
1066,6089.11,40.740693177330435,-73.98160636425018,Manhattan,10016
1071,6786.02,40.76153045158114,-73.99007007479669,Manhattan,10036
1101,8123.02,40.83299,-73.94592,Manhattan,10032
1138,7540.02,40.794509768000005,-73.936090589,Manhattan,10029
1151,6364.10,40.749708055999996,-73.988172531,Manhattan,10001
1153,5492.05,40.72210378668603,-73.99724900722505,Manhattan,10012
1155,6753.08,40.761227399999996,-73.96094022,Manhattan,10065
1166,7338.02,40.7839636,-73.94716729999999,Manhattan,10035
1167,7680.03,40.804319381999996,-73.967020869,Manhattan,10025
1168,7524.16,40.793144941,-73.977016687,Manhattan,10024
1174,5453.06,40.720522523,-73.994820833,Manhattan,10012
1195,7456.03,40.7892529,-73.93956237,Manhattan,10029
1264,5506.10,40.72368361,-73.97574813,Manhattan,10009
1265,6140.05,40.74173969,-73.99415556,Manhattan,10011
1274,7920.05,40.819746,-73.951819,Manhattan,10031
1276,6747.06,40.76227205,-73.98788205,Manhattan,10019
1309,5216.06,40.71221958009051,-74.01047229766846,Manhattan,10281
1315,7407.13,40.7869946,-73.94164802,Manhattan,10029
1317,4846.01,40.70118773,-74.012408257,Manhattan,10004
1319,6526.01,40.752762088742045,-73.99280458705105,Manhattan,10001
1326,8458.03,40.855331,-73.937878,Manhattan,10033
